blockTime,mint,delta_raw,fee_lamports
1771709524,132STreShuLRNgkyF1QECv37yP9Cdp8JBAgnKBgKafed,-287807488018,114415
1771709500,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5787812645,44792
1771709429,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5175322948,5000
1771709393,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,337304410,58070
1771701153,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,-4708029,137293
1771701134,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-883071197352,80001
1771701008,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,275185320,17838
1771695051,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-700000000000,10283
1771695028,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,-875654838047,73401
1771694903,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,21911160875,5000
1771694902,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,97689959886,5000
1771694902,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,196455168277,5000
1771694902,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,111078323430,5000
1771694902,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,228062772519,5000
1771694902,71mfKdePwyWXtiF1mqu2aaCdMKnKuN664z2vEM2Xpump,125705534941,5000
1771694815,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,451059568165,80000
1771694807,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,432011629187,80000
1771694771,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,32687613676,5000
1771694771,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,160881761774,5000
1771694771,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,289085449904,5000
1771694771,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,417197152522,5000
1771694771,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,259660763123,5000
1771543067,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,15062065026,36323
1771543066,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,46042693955,44115
1771543066,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,1658927352,18420
1771415913,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,3758090679,32431
1771415910,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,796832831,30632
1771415910,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,225883813,16696
1771414839,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,20766568895,25296
1771414839,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,114372682,11813
1771414839,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,70391703159,29230
1771399227,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-32663848970,5000
1771399227,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-160759944116,5000
1771399201,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,193423458198,17073
1771379877,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-289085449500,5000
1771379877,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-416673132455,5000
1771379877,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-259387936370,5000
1771379842,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,119339855327,5000
1771379842,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,281243016357,5000
1771379842,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,564563972698,5000
1771365414,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-119339855303,5000
1771365414,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-281243016294,5000
1771365414,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-564388182745,5000
1771365382,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,284063070475,204349
1771365382,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,570021465696,83001
1771365312,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-284063070531,5000
1771365311,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,-570047364287,5000
1771365258,HdvZF538TerjMWc1cmtWVKUaGkS8d77sGH5QaDCCpump,71692746371,5000
